City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Hotel Name
7,7,Galle,LK,6.0367,80.217,80.76,72,100,6.17,overcast clouds,Jungle Hostel Villa
10,10,Tabou,CI,4.423,-7.3528,79.93,87,42,4.88,scattered clouds,hôtel le rochet
16,16,Victoria,HK,22.2855,114.1577,78.85,59,0,3.0,clear sky,四季酒店 Four Seasons Hotel
17,17,Quelimane,MZ,-17.8786,36.8883,75.15,94,75,21.99,light rain,Mabassa
22,22,Ambilobe,MG,-13.2,49.05,75.38,90,98,2.26,overcast clouds,Hôtel National
28,28,Takoradi,GH,4.8845,-1.7554,78.75,87,75,4.32,broken clouds,Hillcrest
30,30,Mahebourg,MU,-20.4081,57.7,75.49,94,75,1.14,light rain,Grand Bel Air
32,32,Saint-Philippe,RE,-21.3585,55.7679,72.99,89,69,10.47,moderate rain,Le Baril
34,34,Altagracia De Orituco,VE,9.8601,-66.3814,71.13,89,79,4.88,broken clouds,Hotel El Canastro
39,39,Hithadhoo,MV,-0.6,73.0833,81.73,70,38,4.76,scattered clouds,Pebbles Inn
40,40,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.57,87,100,15.05,overcast clouds,Pousada Mediterrâneo
41,41,Mahajanga,MG,-15.7167,46.3167,75.22,94,20,4.61,few clouds,Vahiny Hotel
45,45,Sao Filipe,CV,14.8961,-24.4956,78.44,50,54,11.72,broken clouds,Bela Vista
53,53,Trincomalee,LK,8.5711,81.2335,80.33,77,100,10.49,overcast clouds,Silver Star Inn
54,54,Micomeseng,GQ,2.1462,10.6164,71.47,99,100,0.56,overcast clouds,Hotel Victor
56,56,Buchanan,LR,5.8808,-10.0467,79.03,90,51,3.67,broken clouds,Phillipmena's Guesthouse
60,60,Dolores,AR,-36.3132,-57.6792,71.37,70,71,13.96,broken clouds,Plaza Hotel
64,64,Beloha,MG,-25.1667,45.05,72.39,90,33,9.53,scattered clouds,Hôtel Oliv
72,72,Waw,SS,7.7029,27.9953,79.86,37,89,2.77,overcast clouds,Safari Park Hotel
74,74,Mitsamiouli,KM,-11.3847,43.2844,82.4,73,43,12.75,scattered clouds,Hotel le Paradis
75,75,Port Blair,IN,11.6667,92.75,82.44,78,40,9.22,mist,Andaman Ocean Breeze
76,76,Tocopilla,CL,-22.092,-70.1979,71.47,83,85,3.78,overcast clouds,hotel Isidora
77,77,Souillac,MU,-20.5167,57.5167,75.58,94,75,1.14,light rain,Hotel SkylineInn
80,80,Cidreira,BR,-30.1811,-50.2056,75.18,89,0,6.08,clear sky,Hotel Castelo
84,84,Mercedes,AR,-34.6515,-59.4307,78.78,57,61,13.4,broken clouds,Gran Hotel Mercedes
90,90,Namibe,AO,-15.1961,12.1522,70.75,77,92,4.12,overcast clouds,Hotel Chik Chik Namibe
95,95,Richards Bay,ZA,-28.783,32.0377,73.81,93,61,3.98,broken clouds,Protea Hotel
104,104,Huarmey,PE,-10.0681,-78.1522,75.79,75,100,2.62,overcast clouds,Hostal Santa Rosa
110,110,Mabaruma,GY,8.2,-59.7833,72.01,93,96,2.95,overcast clouds,Monty Brooms Hotel
111,111,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.03,79,100,5.39,overcast clouds,Hotel do Sol
112,112,Madras,IN,13.0878,80.2785,84.18,79,40,5.75,mist,Blue Star International
113,113,Mar Del Plata,AR,-38.0023,-57.5575,72.09,91,100,8.05,light rain,Nuevo Ostende
115,115,Samana,DO,19.2056,-69.3369,73.99,64,99,11.03,overcast clouds,Hotel Cotubanamá
118,118,Gwadar,PK,25.1216,62.3254,76.28,55,56,0.63,broken clouds,Sadaf Resorts
119,119,San Miguel,SV,13.4833,-88.1833,74.25,86,100,1.01,overcast clouds,Continental Plaza Hotel
121,121,Saint-Pierre,RE,-21.3393,55.4781,76.57,94,75,8.05,heavy intensity rain,Tropic Hotel
125,125,Kalmunai,LK,7.4167,81.8167,81.52,74,100,6.24,overcast clouds,Saji new food
132,132,Salalah,OM,17.0151,54.0924,73.49,68,20,4.61,few clouds,Muscat International Hotel
133,133,Dapaong,TG,10.8639,0.205,84.2,44,71,6.35,broken clouds,La Residenze
136,136,Saint-Paul,RE,-21.0096,55.2707,77.09,93,37,1.99,moderate rain,Hôtel d'application
138,138,Santa Luzia,BR,-19.7697,-43.8514,74.3,68,0,5.75,clear sky,Alcoboca
141,141,Muisne,EC,0.6,-80.0333,73.4,88,100,2.73,overcast clouds,Hostal Té de Menta
142,142,Ariquemes,BR,-9.9133,-63.0408,73.47,98,100,0.74,overcast clouds,Aquarius
151,151,Saquarema,BR,-22.92,-42.5103,77.14,90,66,8.14,broken clouds,Pousada Garota de Itaúna
157,157,Padang,ID,-0.9492,100.3543,82.45,71,38,4.52,scattered clouds,losmen Surya
162,162,Bengkulu,ID,-3.8004,102.2655,82.96,70,82,5.48,broken clouds,Dena Hotel
164,164,Minab,IR,27.1467,57.0801,76.86,45,100,4.5,overcast clouds,هتل صدف
168,168,Abu Dhabi,AE,24.4667,54.3667,79.95,49,0,17.27,clear sky,Marriott Downtown Abu-Dhabi
169,169,Bathsheba,BB,13.2167,-59.5167,75.81,88,20,2.3,few clouds,Atlantis Hotel
172,172,Cap Malheureux,MU,-19.9842,57.6142,75.47,89,100,1.99,light rain,Cape Garden
175,175,Port-Gentil,GA,-0.7193,8.7815,80.49,80,100,9.55,overcast clouds,Tara-Mé
178,178,Beira,MZ,-19.8436,34.8389,78.89,94,75,10.36,light rain,Hotel Savoy
184,184,Mouila,GA,-1.8685,11.0559,73.62,99,100,2.91,light rain,Le Lac Bleu
185,185,Oussouye,SN,12.485,-16.5469,73.49,37,4,8.19,clear sky,Campement Alulum
187,187,Dom Pedrito,BR,-30.9828,-54.6731,74.57,78,0,11.77,clear sky,Hotel Alexandre
