City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Georgetown,MY,5.4112,100.3354,87.73,62,20,8.05,few clouds
1,Westport,US,41.1415,-73.3579,39.56,64,0,9.22,clear sky
2,Nantucket,US,41.2835,-70.0995,39.34,79,100,5.75,overcast clouds
3,Torbay,CA,47.6666,-52.7314,30.97,86,100,20.71,heavy snow
4,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,94,0,10.36,clear sky
5,Ushuaia,AR,-54.8,-68.3,53.26,43,40,5.75,scattered clouds
6,Cape Town,ZA,-33.9258,18.4232,63.37,89,40,3.44,scattered clouds
7,Galle,LK,6.0367,80.217,80.76,72,100,6.17,overcast clouds
8,Saint-Augustin,CA,51.226,-58.6502,24.62,77,19,17.11,few clouds
9,Saldanha,ZA,-33.0117,17.9442,57.25,81,0,2.89,clear sky
10,Tabou,CI,4.423,-7.3528,79.93,87,42,4.88,scattered clouds
11,Dingle,PH,10.9995,122.6711,85.08,57,90,11.52,overcast clouds
12,Tazovskiy,RU,67.4667,78.7,-0.87,88,94,18.84,overcast clouds
13,Codrington,AU,-38.2667,141.9667,67.19,62,100,8.75,overcast clouds
14,Oriximina,BR,-1.7656,-55.8661,73.67,95,92,2.89,overcast clouds
15,Urupes,BR,-21.2017,-49.29,78.13,90,100,4.88,overcast clouds
16,Victoria,HK,22.2855,114.1577,78.85,59,0,3.0,clear sky
17,Quelimane,MZ,-17.8786,36.8883,75.15,94,75,21.99,light rain
18,Taoudenni,ML,22.6783,-3.9836,75.99,11,10,11.56,clear sky
19,Ribeira Grande,PT,38.5167,-28.7,63.77,95,100,30.0,heavy intensity rain
20,Sachin,IN,21.0833,72.8833,78.69,44,0,3.44,haze
21,Port Alfred,ZA,-33.5906,26.891,64.18,93,54,5.68,broken clouds
22,Ambilobe,MG,-13.2,49.05,75.38,90,98,2.26,overcast clouds
23,Henties Bay,NA,-22.116,14.2845,61.11,89,0,5.3,clear sky
24,Turukhansk,RU,65.8167,87.9833,-0.81,87,76,16.24,broken clouds
25,Marzuq,YE,14.4,46.4667,62.58,60,14,6.8,few clouds
26,East London,ZA,-33.0153,27.9116,68.94,83,0,6.91,clear sky
27,Aksarka,RU,66.5606,67.7975,14.47,94,100,12.21,overcast clouds
28,Takoradi,GH,4.8845,-1.7554,78.75,87,75,4.32,broken clouds
29,Skibbereen,IE,51.55,-9.2667,39.11,79,60,13.04,broken clouds
30,Mahebourg,MU,-20.4081,57.7,75.49,94,75,1.14,light rain
31,Dikson,RU,73.5069,80.5464,-4.31,88,94,17.22,overcast clouds
32,Saint-Philippe,RE,-21.3585,55.7679,72.99,89,69,10.47,moderate rain
33,Krasnoselkup,RU,65.7,82.4667,0.81,82,45,18.41,scattered clouds
34,Altagracia De Orituco,VE,9.8601,-66.3814,71.13,89,79,4.88,broken clouds
35,Hofn,IS,64.2539,-15.2082,16.93,62,34,20.83,scattered clouds
36,Margate,GB,51.3813,1.3862,46.9,94,100,5.01,moderate rain
37,Gorodishche,RU,48.8045,44.4744,40.08,93,0,8.95,clear sky
38,Safaga,EG,26.7292,33.9365,66.24,36,0,6.17,clear sky
39,Hithadhoo,MV,-0.6,73.0833,81.73,70,38,4.76,scattered clouds
40,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.57,87,100,15.05,overcast clouds
41,Mahajanga,MG,-15.7167,46.3167,75.22,94,20,4.61,few clouds
42,Punta Arenas,CL,-53.15,-70.9167,46.51,81,75,13.8,light rain
43,Mangan,IN,27.5167,88.5333,74.21,28,0,5.37,clear sky
44,Rudbar,AF,30.15,62.6,76.95,20,97,5.46,overcast clouds
45,Sao Filipe,CV,14.8961,-24.4956,78.44,50,54,11.72,broken clouds
46,Hamilton,US,39.1834,-84.5333,45.88,82,100,13.8,light rain
47,Sirsilla,IN,18.3833,78.8333,83.62,33,1,4.16,clear sky
48,Upernavik,GL,72.7868,-56.1549,-6.9,76,2,2.46,clear sky
49,Constitucion,CL,-35.3333,-72.4167,57.94,92,57,4.12,broken clouds
50,Correntina,BR,-13.3433,-44.6367,69.12,57,100,2.06,overcast clouds
51,Changji,CN,44.0167,87.3167,43.59,56,0,2.24,clear sky
52,Sao Jose Da Laje,BR,-9.0097,-36.0583,69.08,92,72,1.07,broken clouds
53,Trincomalee,LK,8.5711,81.2335,80.33,77,100,10.49,overcast clouds
54,Micomeseng,GQ,2.1462,10.6164,71.47,99,100,0.56,overcast clouds
55,Mehamn,NO,71.0357,27.8492,19.31,79,75,6.91,light snow
56,Buchanan,LR,5.8808,-10.0467,79.03,90,51,3.67,broken clouds
57,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,42,0,17.27,clear sky
